DATE,INDIGO,ICICI,Jet_Airways,SBI,TATA Chem,TATA Comm,HDFC,Bajaj Finance,KOTAK,Reliance
26-06-2019,1575.800049,438.649994,73.849998,358.149994,628.400024,480.049988,2168.100098,3627.949951,1490.599976,1281.997925
27-06-2019,1583.349976,440.950012,71.400002,362.149994,641.299988,481.399994,2195.449951,3642.199951,1481.599976,1262.185791
28-06-2019,1557.949951,437.100006,67.849998,361.25,626.599976,484.950012,2192.100098,3681.100098,1477.099976,1241.333374
01-07-2019,1581.099976,439,71.199997,361.549988,619.700012,479.149994,2245.899902,3699,1481.199951,1256.935547
02-07-2019,1563.599976,436.75,72.5,364.5,621.400024,475,2281.25,3711.100098,1471.5,1266.494873
03-07-2019,1579.449951,435.950012,68.900002,366.149994,616.25,475.799988,2277.199951,3715.399902,1475,1270.506836
04-07-2019,1635.75,436.200012,65.5,367.399994,617.950012,463.049988,2280.25,3732.5,1497.800049,1271.943237
05-07-2019,1562,436.350006,62.25,370.649994,605.599976,461.350006,2278.899902,3719.149902,1517.199951,1251.487183
08-07-2019,1571.050049,425.899994,59.150002,355.299988,592,454.149994,2259.949951,3413.300049,1475.300049,1240.293213
09-07-2019,1566.300049,428.5,56.200001,359.5,593.799988,449.350006,2232.800049,3603.100098,1462.849976,1268.079834
10-07-2019,1398.050049,430.899994,53.400002,354.200012,594.650024,463.600006,2227.75,3429.050049,1475.849976,1266.841553
11-07-2019,1354.5,426.549988,50.75,363.200012,596.349976,505.25,2261.899902,3451.050049,1484.949951,1269.516235
12-07-2019,1356.849976,427.049988,48.25,363.600006,599.849976,490.850006,2257.800049,3377.5,1483.650024,1268.476074
15-07-2019,1381.050049,422.299988,45.849998,360.049988,594.599976,492.600006,2265.350098,3412.100098,1508.099976,1264.117432
16-07-2019,1445.25,424.600006,45,364.350006,606.650024,495.100006,2277.550049,3448.699951,1501.449951,1280.858765
17-07-2019,1465.25,424.700012,47.25,372.399994,610.450012,486.899994,2286.699951,3463.300049,1534.599976,1269.813477
